TIME,,CH1,,CH2,,CH3,,CH4,,CH5,
0.000000046480,46480.000000000000,0.056250000000,56250.000000000000,-0.349375000000,-349375.000000000000,9.125000000000,9125000.000000000000,5.189375000000,5189375.000000000000,3.888125000000,3888125.000000000000
0.000000046560,46560.000000000000,0.053125000000,53125.000000000000,-0.370312500000,-370312.500000000000,9.129687500000,9129687.500000000000,5.175625000000,5175625.000000000000,3.927812500000,3927812.500000000000
0.000000046640,46640.000000000000,0.043437500000,43437.500000000000,-0.383125000000,-383125.000000000000,9.119531250000,9119531.250000000000,5.171875000000,5171875.000000000000,3.958437500000,3958437.500000000000
0.000000046720,46720.000000000000,0.043437500000,43437.500000000000,-0.391875000000,-391875.000000000000,9.104687500000,9104687.500000000000,5.169375000000,5169375.000000000000,3.986875000000,3986875.000000000000
0.000000046800,46800.000000000000,0.043750000000,43750.000000000000,-0.389375000000,-389375.000000000000,9.072656250000,9072656.250000000000,5.175312500000,5175312.500000000000,4.001875000000,4001875.000000000000
0.000000046880,46880.000000000000,0.055312500000,55312.500000000000,-0.381562500000,-381562.500000000000,9.032031250000,9032031.250000000000,5.178125000000,5178125.000000000000,4.011875000000,4011875.000000000000
0.000000046960,46960.000000000000,0.064062500000,64062.500000000000,-0.363750000000,-363750.000000000000,8.975000000000,8975000.000000000000,5.183750000000,5183750.000000000000,4.006250000000,4006250.000000000000
0.000000047040,47040.000000000000,0.082500000000,82500.000000000000,-0.345000000000,-345000.000000000000,8.920312500000,8920312.500000000000,5.177812500000,5177812.500000000000,3.997500000000,3997500.000000000000
0.000000047120,47120.000000000000,0.097187500000,97187.500000000000,-0.323750000000,-323750.000000000000,8.870312500000,8870312.500000000000,5.166562500000,5166562.500000000000,3.977187500000,3977187.500000000000
0.000000047200,47200.000000000000,0.117500000000,117500.000000000000,-0.308437500000,-308437.500000000000,8.846875000000,8846875.000000000000,5.141250000000,5141250.000000000000,3.956250000000,3956250.000000000000
