TIME,,CH1,,CH2,,CH3,,CH4,
2.11E-09,2110,4.4846875,4484687.5,-0.1678125,-167812.5,4.6946875,4694687.5,0.039375,39375.000000000000
2.19E-09,2190,4.4778125,4477812.5,-0.1740625,-174062.5,4.6771875,4677187.5,0.050625,50625.000000000000
2.27E-09,2270,4.4821875,4482187.5,-0.1728125,-172812.5,4.67125,4671250,0.0540625,54062.500000000000
2.35E-09,2350,4.48,4480000,-0.15875,-158750,4.67125,4671250,0.070625,70625.000000000000
2.43E-09,2430,4.49,4490000,-0.13875,-138750,4.684375,4684375,0.0765625,76562.500000000000
2.51E-09,2510,4.491875,4491875,-0.1096875,-109687.5,4.700625,4700625,0.096875,96875.000000000000
2.59E-09,2590,4.5075,4507500,-0.08125,-81250,4.7240625,4724062.5,0.104375,104375.000000000000
2.67E-09,2670,4.5159375,4515937.5,-0.0515625,-51562.5,4.74375,4743750,0.1196875,119687.500000000000
2.75E-09,2750,4.5353125,4535312.5,-0.02875,-28750,4.761875,4761875,0.1190625,119062.500000000000
2.83E-09,2830,4.545,4545000,-0.008125,-8125,4.7678125,4767812.5,0.1275,127500.000000000000
2.91E-09,2910,4.5675,4567500,0.0025,2500,4.7690625,4769062.5,0.118125,118125.000000000000
2.99E-09,2990,4.581875,4581875,0.009375,9375,4.76,4760000,0.1125,112500.000000000000
3.07E-09,3070,4.6065625,4606562.5,0.0078125,7812.5,4.75125,4751250,0.09,90000.000000000000
3.15E-09,3150,4.6184375,4618437.5,0.0059375,5937.5,4.7371875,4737187.5,0.0790625,79062.500000000000
3.23E-09,3230,4.64,4640000,-0.000625,-625,4.7290625,4729062.5,0.05625,56250.000000000000
3.31E-09,3310,4.649375,4649375,-0.0046875,-4687.5,4.7203125,4720312.5,0.0478125,47812.500000000000
3.39E-09,3390,4.6675,4667500,-0.010625,-10625,4.7178125,4717812.5,0.0340625,34062.500000000000
3.47E-09,3470,4.671875,4671875,-0.011875,-11875,4.7115625,4711562.5,0.04375,43750.000000000000
3.55E-09,3550,4.688125,4688125,-0.0153125,-15312.5,4.7078125,4707812.5,0.0509375,50937.500000000000
3.63E-09,3630,4.695625,4695625,-0.016875,-16875,4.6984375,4698437.5,0.0765625,76562.500000000000
3.71E-09,3710,4.7146875,4714687.5,-0.0221875,-22187.5,4.69,4690000,0.095625,95625.000000000000
3.79E-09,3790,4.72,4720000,-0.0246875,-24687.5,4.675625,4675625,0.130625,130625.000000000000
3.87E-09,3870,4.7340625,4734062.5,-0.0290625,-29062.5,4.6646875,4664687.5,0.1521875,152187.500000000000
3.95E-09,3950,4.73375,4733750,-0.0271875,-27187.5,4.651875,4651875,0.179375,179375.000000000000
4.03E-09,4030,4.7384375,4738437.5,-0.021875,-21875,4.6459375,4645937.5,0.1878125,187812.500000000000
